Tube_Number,Sample_ID,Presowing_Weight,Postsowing_Weight,Weight_Imbibed,Radicle_Emergence,Disease _rating,Time,Experiment_Date,SoilCollectionDate,ExtractionDate,Extraction Weight,Qubit_ng_uL,Location_EC,State,County,Latitude,Longitude,Sample_Type,Crop_Last_Year,Crop_This_Year,Tillage,Notes,Weather,Precipitation,Air_Temperature,Relative_Humiidty,Soil_Temperature,UVA,UVB
79,BT14,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.3110,15.5000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
80,BT15,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.2190,11.7000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
81,BT16,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.1810,6.2600,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
82,BT21,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.1950,5.9200,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
83,BT22,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.3080,12.0000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
84,BT23,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.3030,10.3000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
85,BT24,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.1650,6.7400,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
86,BT25,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.1590,4.8200,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
87,BT26,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.2820,11.6000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
88,BT31,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.1650,8.8000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
89,BT32,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.1970,12.2000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
90,BT33,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.1960,12.3000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
91,BT34,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.3190,19.7000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
92,BT35,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.1540,7.4200,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
93,BT36,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.1540,5.1400,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
94,BT41,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.1970,10.2000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
95,BT42,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.2050,12.1000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
96,NC4,NA,NA,NA,NA,NA,NA,8/5/2024,NA,1/29/2025,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,NA,NA,NA,,,,,,,,
97,BT43,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.1760,10.7000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
98,BT44,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.1490,7.8800,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
99,BT45,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.1600,9.3200,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
100,BT46,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.2490,14.9000,TVRec_EC,AL,Madison,34.6888243,-86.8862105,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
101,BN11,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.3050,21.0000,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
102,BN12,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.2330,11.6000,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
103,BN13,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.1770,8.8600,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
104,BN14,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.2340,10.9000,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
105,BN15,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.2200,9.0000,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
106,BN16,NA,NA,NA,NA,NA,0,5/30/2024,5/19/2024,1/29/2025,0.2960,13.5000,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
107,BN21,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.2670,9.4400,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
108,BN22,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.2500,7.7600,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
109,BN23,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.2680,6.2600,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
110,BN24,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.2020,8.2400,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
111,BN25,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.3090,7.1400,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
112,BN26,NA,NA,NA,NA,NA,8,5/30/2024,5/19/2024,1/29/2025,0.2490,7.3600,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
113,BN31,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.2550,10.2000,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
114,BN32,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.2430,4.0800,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
115,BN33,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.2690,8.7200,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
116,BN34,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.1690,8.4200,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
117,BN35,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.2680,14.8000,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
118,BN36,NA,NA,NA,NA,NA,12,5/30/2024,5/19/2024,1/29/2025,0.2740,14.6000,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
119,BN41,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.1500,8.2600,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
120,NC5,NA,NA,NA,NA,NA,NA,8/5/2024,NA,1/29/2025,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,NA,NA,NA,NC_for_97-126,,,,,,,
121,BN42,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.1480,4.5400,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
